SA2_CODE21,SA2_NAME21,area_sqkm,tree_count,tree_density_per_ha,mean_diameter_cm,species_diversity_shannon,pct_long_life_expectancy,mean_useful_life_years,canopy_coverage_ratio_city,vegetation_cover_pct_state,tree_cover_pct_state,building_count,building_density_per_ha,building_coverage_ratio,mean_building_area_sqm,road_length_km,road_density_km_per_sqkm,park_coverage_ratio,water_coverage_ratio,dist_to_nearest_park_m,dist_to_nearest_water_m,impervious_ratio,mean_uhi_2018,max_uhi_2018,heat_mesh_block_count
206011106,Brunswick East,2.1679984441106703,,,,,,,,30.740866506834827,11.819082970836861,2060,9.501851837559911,0.168429840225562,177.26001531593553,56.38818840323078,26.00933065999577,0.1525681411251626,0.0010554501442207327,42.363066315915994,548.0647853519897,0.34072917258152247,8.665105064271767,10.08309201,189.0
206011107,Brunswick West,3.1786670404409514,24,0.07550334682638124,22.625,0.8151862107956462,0.8260869565217391,42.47826086956522,0.0025223234476234855,30.59915980351375,11.465828512482705,1049,3.300125450869747,0.06897556601159661,209.00892114091639,82.47453949969528,25.94626566746489,0.05180302691630826,0.0,154.44495503681617,375.72263089302066,0.24864460623361018,9.016514220498712,11.8619179,248.0
206011109,Pascoe Vale South,2.988928126263047,,,,,,,,31.0988838736075,10.159358163074566,377,1.2613217316515069,0.026634136501052487,211.16052972606113,83.63404732472249,27.98128419009099,0.06096528333780755,0.0,168.79801329232015,335.60472256168055,0.22289602724940855,8.992272585595922,10.46888161,153.0
206011495,Brunswick - North,2.408738441678507,,,,,,,,21.19870533302532,9.115609843026409,4418,18.341551426070808,0.2653543792062522,144.67390082884464,68.98731835486149,28.640435657591908,0.006524481418595781,0.0,92.12689103655133,1384.6722761868684,0.4531900910257753,8.815138671247187,10.90719401,211.0
206011496,Brunswick - South,2.7337080163834595,2,0.007316070289927622,,-0.0,,,0.002947729611954675,21.347177796148156,8.737102648826415,2324,8.501273676895897,0.23443117646052125,275.7600629863736,70.87145584752885,25.92502762650115,0.08466575086498816,0.0,49.31327784444451,797.1855293572751,0.4124899167975433,8.955072441837862,11.81856526,225.0
206011497,Coburg - East,3.7466111971840594,,,,,,,,32.10225893109878,11.190351359551356,1367,3.648630530510966,0.09561521853122744,262.0578261670062,96.90086004146782,25.86360178347254,0.09951971315711666,0.0061141866829027055,193.9589035805089,686.1959528953491,0.2737426067055985,9.107350270535319,11.52872998,215.0
206011498,Coburg - West,3.1870532425492746,,,,,,,,27.19113055363552,9.85722019996383,163,0.5114442326342149,0.011604544924871374,226.89756154061374,91.96458974360816,28.855680387079794,0.030064032907644363,0.0,27.87415590525247,1617.3496427040275,0.20017841059335545,8.959814136114604,11.52872998,181.0
206021110,Alphington - Fairfield,2.884964501294227,,,,,,,,32.74695316230603,15.47595750629599,590,2.04508582249563,0.09910911056627227,484.62078938735607,74.74782537936592,25.90944371961361,0.09110154644154714,0.0019270270028865603,192.9360850403079,717.2545883412329,0.2699636503880612,7.646487900713119,9.60931035,150.0
206021112,Thornbury,4.996935877998398,,,,,,,,31.92991460056722,11.69769379960909,960,1.921177344353963,0.05900520144467281,307.1304250910505,123.41314347506983,24.69776408748013,0.10528277682833005,0.0010289295788833209,114.17618624843843,1089.9894271665105,0.21927997603391114,8.377902458656967,10.34334743,318.0
206021499,Northcote - East,3.5134796922950726,,,,,,,,33.315469846083424,14.308850731467487,675,1.921172339433893,0.04491090252805323,233.76821332586437,90.60757282536207,25.78855743041892,0.1005597490472294,0.0006901362229838002,229.0153070365709,594.5309821363593,0.21011133852852318,7.907845180375567,11.85859645,230.0
206021500,Northcote - West,2.6313892497409714,,,,,,,,38.10942699500325,15.001384452029036,697,2.6487909383555146,0.0759304082095352,286.6606311205373,57.96430438097083,22.02802355701526,0.12065346857203159,0.00021466659494352887,8.528165058800807,598.0963102069613,0.22307962760542968,7.838418305959227,10.49884045,187.0
206031113,Ascot Vale,3.836150657627705,0,0.0,,,,,0.003219336167175896,35.1092300918239,11.466047076280253,8091,21.091455268869748,0.27787906972056137,131.7495953589799,92.3242725859563,24.066904776636193,0.1118103215432619,0.02297977919903421,205.80717189977273,681.2447394990195,0.43414993373936206,9.472198440668572,11.8619179,211.0
206031115,Flemington,1.5808971908371534,0,0.0,,,,,0.015051313619937215,33.60100952410469,18.8343563322102,3201,20.247996002225367,0.2864988847733144,141.49493349456736,42.95812552869861,27.173256918718682,0.10731121288037919,0.001953146892600513,105.55008504220629,745.9054442601447,0.47805431572080365,8.739800953832297,11.8619179,157.0
206031116,Moonee Ponds,4.355548902735794,,,,,,,,30.903627941035346,10.412363405777652,819,1.8803600149812856,0.05978865352879573,317.9638635816811,107.64470089684386,24.714382343228976,0.07539393704524576,0.008001830378427466,176.63281330189056,402.35070410407116,0.23403193680291504,9.493863745035357,10.90723385,244.0
206031501,Essendon (West) - Aberfeldie,4.888945666071261,,,,,,,,30.980342746397973,10.163240918221632,321,0.6565832838513715,0.01936693583053514,294.9654111955607,119.90324734935831,24.52537940469936,0.08208517464890762,0.0075915704513623995,175.59826120970925,702.2300845807775,0.18061658276810433,9.425835343275908,11.29471072,236.0
206031502,Essendon - East,3.5544852311393553,,,,,,,,31.0189963348129,13.323916856871525,356,1.0015514957868812,0.02807820503642466,280.3470930305453,84.94455122008287,23.897848970061617,0.10272886899757287,0.001367247943125071,43.981766513835204,640.1488201886062,0.19104091878538834,9.500948779893038,11.07844064,213.0
206041117,Carlton,1.818205831679718,4480,24.639674573374506,39.604026845637584,4.103032187130838,0.19616258520575613,31.971850542792225,0.14996901140624547,22.618963938910664,15.293094259619666,2587,14.228312080651753,0.32453000815727834,228.0874964772439,49.734688774351056,27.353717553751615,0.18800040427317702,0.0017765780020443085,55.62884695364677,447.66223369482833,0.5240912227654005,8.081472876973093,9.70656985,217.0
206041118,Docklands,2.4436959145242896,5450,22.302283879133718,25.147564887722368,3.590446562811188,0.1303522463615271,32.03395908036279,0.04118451566498593,8.661402928710022,3.219204500189094,384,1.5713902769885042,0.27109578928970146,1725.197064406201,37.69417063749406,15.425065947631182,0.05461818914308269,0.2805269717189686,86.56132700913997,0.0,0.39080498970299904,5.271983391025078,12.01976345,66.0
206041119,East Melbourne,2.8996596053059878,6876,23.713128214835432,41.87234759178175,4.6550312913991565,0.18005540166204986,31.21948291782087,0.1890908419773785,36.91947386775272,18.241596220164713,1244,4.290158740438522,0.17206368277274425,401.06600520603723,47.41095582309319,16.350524639629253,0.4011895863304857,0.0401407429655176,54.133582528857566,335.60649045198954,0.30887136576275953,6.686753828796647,9.85076014,127.0
206041120,Flemington Racecourse,1.709307117032549,514,3.0070664006380095,27.084444444444443,2.570037084611465,0.3295964125560538,34.60986547085202,0.0811116279786922,44.0563950227237,7.2919481291246955,231,1.3514247831661093,0.09271109304498008,686.0248102582307,4.661439092334759,2.7270927768833455,0.3031691059548646,0.02962699298906643,0.0,175.7624324157379,0.11530884506918133,8.9869301528077,11.08255804,11.0
206041121,Kensington (Vic.),2.1469829070509387,7518,35.01658059461034,33.31771321462043,4.591097501243269,0.24674945215485755,32.115485756026295,0.13324146767005302,26.57565706569699,13.640108128836834,4808,22.39421648029882,0.30255897361302436,135.10585372754562,72.75842653997887,33.888684581992635,0.1411021335371781,0.022592472636856677,69.50522060897329,728.0065209531566,0.5240625069877098,9.036956470742338,11.29723434,174.0
206041124,Parkville,4.048708013170179,28602,70.64475854262541,27.257194947258757,3.4160388343571597,0.49754745148219237,35.69367135849861,0.2132133035985147,52.39012894450433,20.91120221204445,1751,4.3248364522808584,0.14732809778781164,340.65588239784853,52.47131450854389,12.960014488043637,0.5994153254845066,0.006614988346950715,0.0,82.95833895898144,0.25331820048839054,8.358409512808553,11.11687368,130.0
206041125,South Yarra - West,1.5022222489719954,2987,19.883875385576744,39.17564870259481,3.7134095714097577,0.22702104097452935,31.00885935769657,0.20734697941230842,43.245096768176026,20.761205184162186,1088,7.242603421328256,0.2515533060699813,347.32442387940074,27.459199783923555,18.279052785108533,0.2855150578729604,3.388710624800273e-05,0.0,383.2037820137952,0.3953525951560943,6.738510702515011,9.27359772,129.0
