SA1_CODE21,SA2_NAME21,area_sqkm,tree_count,tree_density_per_ha,mean_diameter_cm,species_diversity_shannon,pct_long_life_expectancy,mean_useful_life_years,canopy_coverage_ratio_city,vegetation_cover_pct_state,tree_cover_pct_state,building_count,building_density_per_ha,building_coverage_ratio,mean_building_area_sqm,road_length_km,road_density_km_per_sqkm,park_coverage_ratio,water_coverage_ratio,dist_to_nearest_park_m,dist_to_nearest_water_m,impervious_ratio,mean_uhi_2018,max_uhi_2018,heat_mesh_block_count,population_density,pct_population_needing_care
20601110601,Brunswick East,0.17994582945313192,,,,,,,,41.48059902051107,16.162054871935325,342,19.0057197235058,0.24530273158488947,129.06784649754945,4.905489722958978,27.260924789794284,0.326021536712077,0.0016115746721972943,48.3844051744654,95.57850239369782,0.42966307533084014,7.927980198781726,9.74788396,18.0,3295.446416202394,4.737736736508391
20601110605,Brunswick East,0.06771731102614041,,,,,,,,15.416263061952046,6.812578579106733,58,8.565018179415112,0.08224808774471505,96.02791963989924,2.157922208828262,31.866625773064957,0.0,0.0,182.89172690493146,1067.8908839800215,0.28265275288404684,8.65891444994303,9.30247088,13.0,6305.637225805663,2.570096492479754
20601110606,Brunswick East,0.049558436190464274,,,,,,,,21.11260470217376,7.584721769000937,32,6.4570237601963,0.006957471955889082,10.775044686652304,1.4710980071101614,29.684108704649177,0.0,0.0,106.18790386968733,865.6194517184712,0.18506212418378412,8.890577716887014,9.24960295,10.0,6497.369591121416,1.8927499320861407
20601110608,Brunswick East,0.2623276496805444,,,,,,,,35.75844384961121,11.896955115222461,139,5.298717087934516,0.10043339658295615,189.5428552161216,5.4839349163498,20.904906223297427,0.17259916745669135,0.0,107.80147123255912,179.78508461060673,0.23326492988427328,8.929462338688063,9.85911954,24.0,1707.804561804202,8.7527057690618
20601110609,Brunswick East,0.13836960764638048,,,,,,,,36.78528649509543,12.958815506654501,257,18.57344285146729,0.3225465314522641,173.66006616634516,4.036239557550611,29.169986286769618,0.31721023051801894,0.0,0.0,695.0453051898658,0.5069734827278365,7.8841763070610416,9.66894042,17.0,3729.156284288932,1.1472518605108302
20601110610,Brunswick East,0.04564696891161259,,,,,,,,18.953310070715965,9.05317664429324,62,13.582500980525609,0.36047787279659244,265.39874601403693,1.1882142714740247,26.030518560274942,0.0,0.0,131.5285227963732,719.2574133658487,0.537978870396348,8.573996495189363,8.87899276,14.0,11304.103589860171,1.3698717905250444
20601110611,Brunswick East,0.07527945244615994,,,,,,,,25.427662849265776,11.001179241538464,141,18.73021062431924,0.26343462841015286,140.64691192960225,2.587857529584356,34.3766784360606,0.0034475418231854735,0.0,43.287117814011545,514.5274454926068,0.47078529952051223,8.819784973437997,9.57093217,10.0,6416.099761637806,3.3057690756679188
20601110612,Brunswick East,0.0881439296641192,,,,,,,,23.270060967978345,9.226250058554383,129,14.6351541724503,0.17977259330191828,122.83614588791156,3.820011780870813,43.33834213458976,0.0003346919959470923,0.0,246.40570500665928,406.2346169123915,0.45181409490463853,8.816252408801592,9.32065551,13.0,6171.716854403185,6.261499386300444
20601110613,Brunswick East,0.08689955634360898,,,,,,,,30.81525267480058,17.371345921074443,24,2.761809266908309,0.04519520138572789,163.6434562199923,2.9249935695399056,33.659476441677185,0.0,0.0,186.19115666141897,234.32199751655517,0.2654263306965918,8.449339315406943,9.46089051,12.0,4856.179579191222,4.784687156137855
20601110614,Brunswick East,0.10797252377614373,,,,,,,,22.659610216967344,9.311176166778496,2,0.18523231004088977,0.004547283254792163,245.49082467245356,3.0716292962877314,28.448249507032457,9.445488075802238e-05,0.0,111.10678283921447,277.2517673943262,0.22493090637641372,9.37332159080676,9.6200321,18.0,6270.10674939817,3.6710794284838193
